name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T,azero,neutral_ion_type,dissrxn,tag,formula_ox
Al+3,Al+3,Al+3,aq,SSWS97.4 [S98],NA,07.Nov.97,cal,-115609,-126834,-77.7,-32.5,-44.4,-3.3802,-17.0071,14.5185,-2.0758,10.7,-8.06,2.753,3,9,0,,basis,Al+3
AlO+,AlO+,AlO+1,aq,SSWS97.4 [S98],NA,13.Nov.97,cal,-158188,-170900,-27,-30,0.6,2.1705,-2.4811,6.7241,-2.6763,-2.5983,-9.1455,0.957,1,4,0,-1.0000 AlO+ -2.0000 H+ 1.0000 Al+3 1.0000 H2O,,Al+3 O-2
AlO2-,AlO2-,AlO2-1,aq,SSWS97.4 [S98],NA,07.Nov.97,cal,-198693,-222125,-7.22,-11.9,10,3.7221,3.9954,-1.5879,-2.9441,15.2391,-5.4585,1.7418,-1,4,0,-1.0000 AlO2- -4.0000 H+ 1.0000 Al+3 2.0000 H2O,,Al+3 2O-2
AlOH+2,AlOH+2,AlOH+2,aq,SSWS97.4 [S98],NA,13.Nov.97,cal,-165475,-183300,-44.2,13.2,-2.2,2.0469,-2.7813,6.8376,-2.6639,29.7923,-0.3457,1.7247,2,4,0,-1.0000 AlOH+2 -1.0000 H+ 1.0000 Al+3 1.0000 H2O,,Al+3 O-2 H+
B(OH)3,NA,B(OH)3,aq,SHS89 [S92],NA,13.Jul.87,cal,-231540,-256820,37,12,39.22,7.0643,8.8547,3.5844,-3.1451,11.3568,-0.5902,-0.2,0,3,0,,basis,B+3 3H+ 3O-2
Ba(CO3),BaCO3,BaCO3,aq,SSH97 [S98],NA,2.Oct.97,cal,-263830,-285850,16,-34.4,-11.81,0.1361,-7.4461,8.6697,-2.4711,-14.344,-10.0418,-0.038,0,4,0,-1.0000 Ba(CO3) -1.0000 H+ 1.0000 HCO3- 1.0000 Ba+2,,Ba+2 C+4 3O-2
Ba(HCO3)+,NA,Ba(HCO3)+,aq,SK95 [S98],SLOP98.8,Nov.92,cal,-275700,-294350,46.83,NA,NA,7.882,11.464,1.244,-3.253,26.273,4.46,-0.158,1,4,0,-1.0000 Ba(HCO3)+ 1.0000 Ba+2 1.0000 HCO3-,,Ba+2 H+ C+4 3O-2
Ba+2,Ba+2,Ba+2,aq,SH88 [S92],NA,06.Nov.97,cal,-134030,-128500,2.3,-12.3,-12.6,2.7383,-10.0565,-0.047,-2.3633,3.8,-3.45,0.985,2,5,0,,basis,Ba+2
BaCl+,BaCl+,BaCl+,aq,SSH97 [S98],NA,2.Oct.97,cal,-164730,-165323,24,6.67,11.87,3.4534,0.6537,5.4861,-2.806,11.8213,-1.6759,0.1895,1,4,0,-1.0000 BaCl+ 1.0000 Ba+2 1.0000 Cl-,,Ba+2 Cl-
BaF+,BaF+,BaF+,aq,SSH97 [S98],NA,9.Oct.97,cal,-201807,-206931,6.38,10.71,-7,0.916,-5.542,7.9213,-2.5498,16.7731,-0.8065,0.4555,1,4,0,-1.0000 BaF+ 1.0000 Ba+2 1.0000 F-,,Ba+2 F-
